iter	Passed	Remaining
0	0	67
1	0	62
2	1	59
3	1	56
4	1	55
5	2	53
6	2	54
7	3	54
8	3	53
9	3	53
10	4	53
11	4	51
12	4	51
13	5	50
14	5	49
15	5	49
16	6	48
17	6	48
18	6	47
19	7	46
20	7	46
21	7	45
22	8	45
23	8	45
24	8	44
25	9	44
26	9	43
27	9	43
28	10	42
29	10	42
30	11	42
31	11	42
32	11	42
33	12	41
34	12	41
35	12	40
36	13	40
37	13	39
38	13	39
39	14	39
40	14	39
41	15	38
42	15	38
43	15	38
44	16	37
45	16	37
46	16	37
47	17	36
48	17	36
49	17	35
50	18	35
51	18	35
52	18	34
53	19	34
54	19	33
55	20	33
56	20	33
57	20	32
58	21	32
59	21	32
60	21	31
61	22	31
62	22	31
63	22	30
64	23	30
65	23	29
66	23	29
67	24	29
68	24	28
69	24	28
70	25	28
71	25	27
72	25	27
73	26	26
74	26	26
75	26	26
76	27	25
77	27	25
78	27	25
79	28	24
80	28	24
81	28	23
82	29	23
83	29	23
84	45	34
85	46	34
86	46	33
87	46	33
88	47	32
89	47	31
90	47	31
91	48	30
92	48	29
93	49	29
94	49	28
95	49	28
96	50	27
97	50	26
98	50	26
99	51	25
100	51	25
101	52	24
102	52	23
103	52	23
104	53	22
105	53	22
106	53	21
107	54	21
108	54	20
109	54	19
110	55	19
111	55	18
112	55	18
113	56	17
114	56	17
115	57	16
116	57	16
117	57	15
118	58	15
119	58	14
120	58	14
121	59	13
122	59	13
123	59	12
124	60	12
125	60	11
126	61	11
127	61	10
128	61	10
129	62	9
130	62	9
131	62	8
132	63	8
133	63	7
134	64	7
135	64	6
136	64	6
137	65	5
138	65	5
139	65	4
140	66	4
141	66	3
142	66	3
143	66	2
144	67	2
145	67	1
146	67	1
147	68	0
148	68	0
149	68	0
